edad,ingresos_anuales,créditos,categoría
20,188771,59276,crédito
46,158855,29698,inv_riesgo
52,73623,15942,crédito
35,110871,55732,crédito
37,143668,22736,inv_riesgo
40,103648,45178,crédito
51,62871,27483,crédito
50,105470,22174,crédito
27,78587,41258,crédito
50,172410,29830,inv_riesgo
50,141370,30899,inv_riesgo
43,72646,45312,crédito
37,191652,23708,inv_riesgo
32,181617,33608,inv_riesgo
54,169549,58487,crédito
50,193079,49555,crédito
34,170098,58904,crédito
22,171919,44631,crédito
21,50268,35947,crédito
20,140986,50704,crédito
38,148842,47043,crédito
20,165624,58381,crédito
38,130429,19580,crédito
25,161556,51468,crédito
53,131639,35018,crédito
46,86329,54409,crédito
51,122635,51254,crédito
39,50713,15705,crédito
48,170609,26052,inv_riesgo
45,98853,47456,crédito
52,136024,33305,inv_riesgo
51,114332,16826,inv_conservadora
30,147681,21808,inv_riesgo
21,125520,36263,crédito
23,156262,46033,crédito
18,137470,61376,crédito
29,75364,21443,crédito
52,148364,18693,crédito
28,70250,46379,crédito
40,125492,21714,crédito
31,78094,33115,crédito
36,179125,22028,inv_riesgo
54,98819,18315,inv_conservadora
33,126206,29271,crédito
45,147947,44070,crédito
48,127186,51802,crédito
24,66114,34228,crédito
44,172558,33549,inv_riesgo
34,135276,29548,inv_riesgo
24,180451,17278,crédito
32,133522,45764,crédito
29,66800,34009,crédito
25,103606,38841,crédito
19,157642,35884,crédito
55,73176,35640,crédito
43,119846,16911,inv_conservadora
38,177157,51966,crédito
30,100710,57936,crédito
36,198895,32934,inv_riesgo
35,191676,36149,crédito
19,97769,21770,crédito
45,117616,49486,crédito
40,137227,37779,crédito
21,186072,16524,crédito
21,126717,26280,crédito
29,194390,47104,crédito
39,190920,49726,crédito
43,60232,45511,crédito
52,122420,35354,crédito
21,180208,16444,crédito
29,142273,19092,crédito
21,137177,37800,crédito
48,144894,38120,crédito
24,131709,26765,inv_riesgo
27,147813,51554,crédito
41,59981,19297,crédito
32,80903,55640,crédito
37,107631,15201,inv_conservadora
24,81903,16560,inv_conservadora
30,163010,50343,crédito
45,195059,36174,crédito
35,116357,25485,crédito
28,90994,37303,crédito
53,160249,34646,inv_riesgo
53,117933,38832,crédito
19,167572,43010,crédito
34,75982,45287,crédito
23,53708,17920,crédito
40,97529,61419,crédito
33,94701,46259,crédito
43,59926,55123,crédito
18,181461,26271,inv_riesgo
53,163863,24720,inv_riesgo
47,87370,17037,inv_conservadora
19,177820,28531,inv_riesgo
37,108206,36980,crédito
22,128974,24833,crédito
48,152613,19001,crédito
25,97569,22780,crédito
47,132623,23105,inv_riesgo
19,108838,29075,crédito
30,129332,15979,inv_conservadora
21,68553,52828,crédito
25,95294,59122,crédito
42,144976,23804,inv_riesgo
24,144586,22460,inv_riesgo
31,52793,45447,crédito
46,159208,24823,inv_riesgo
38,106413,20034,crédito
54,191256,35246,crédito
50,172736,42631,crédito
42,77089,55876,crédito
31,137783,27328,inv_riesgo
26,139858,44924,crédito
32,81395,36368,crédito
24,174741,24839,inv_riesgo
19,76603,34985,crédito
48,156578,51749,crédito
24,86123,59027,crédito
28,128894,21031,crédito
30,175182,17172,crédito
30,61737,33114,crédito
43,144151,58916,crédito
25,173788,43454,crédito
31,197797,53802,crédito
19,124273,26983,crédito
32,154344,59100,crédito
41,107576,39053,crédito
51,55805,16937,crédito
21,163597,48299,crédito
35,126594,43332,crédito
42,109030,30418,crédito
41,167168,32131,inv_riesgo
23,179359,55601,crédito
51,50690,48701,crédito
55,87403,23194,crédito
20,64178,22060,crédito
36,183050,28104,inv_riesgo
53,72263,33937,crédito
36,190133,30125,inv_riesgo
45,98880,37611,crédito
27,109612,37956,crédito
35,197952,55221,crédito
21,74061,49811,crédito
29,184089,43063,crédito
44,102845,39943,crédito
46,132350,50585,crédito
29,198995,17991,crédito
28,123175,48127,crédito
21,80337,49598,crédito
41,169149,61949,crédito
43,167823,47029,crédito
45,90954,57655,crédito
21,154732,36274,crédito
53,64168,21614,crédito
32,85934,16870,inv_conservadora
39,124670,42835,crédito
41,69442,28800,crédito
41,102465,51074,crédito
54,153525,48730,crédito
22,140475,41446,crédito
23,127800,27868,crédito
27,67278,25843,crédito
20,168614,20543,inv_riesgo
55,148228,55585,crédito
51,99777,35437,crédito
23,177489,25417,inv_riesgo
27,162480,33241,inv_riesgo
33,139567,57936,crédito
46,78001,57712,crédito
20,146875,55101,crédito
28,115558,56981,crédito
54,95494,40925,crédito
21,151869,47825,crédito
21,116041,15083,inv_conservadora
41,58214,29732,crédito
45,191863,52556,crédito
52,183695,55397,crédito
55,123799,40786,crédito
41,151755,48675,crédito
39,87741,23397,crédito
43,73629,17103,crédito
35,89639,51607,crédito
20,112728,34853,crédito
28,164527,33776,inv_riesgo
26,150378,15274,crédito
50,94046,29459,crédito
43,138048,41232,crédito
53,131913,52969,crédito
21,94795,28643,crédito
19,170843,16919,crédito
25,181142,36058,crédito
24,184430,31309,inv_riesgo
53,138123,17888,crédito
51,115997,34328,crédito
36,163624,61147,crédito
46,98485,39023,crédito
23,154717,22612,inv_riesgo
27,145639,36890,crédito
22,150039,35474,crédito
41,72764,22045,crédito
39,126312,35096,crédito
43,70587,20840,crédito
54,90603,43290,crédito
46,161703,51866,crédito
53,66401,26127,crédito
37,127665,46368,crédito
35,182777,54520,crédito
32,125586,53890,crédito
32,116699,44977,crédito
41,90011,27791,crédito
46,132192,17709,crédito
34,103418,34963,crédito
42,153515,53648,crédito
33,168037,55384,crédito
34,71183,49642,crédito
38,175288,27613,inv_riesgo
44,160213,50967,crédito
22,167067,18052,crédito
39,117006,15526,inv_conservadora
50,127509,20011,crédito
19,156986,39062,crédito
52,70401,46416,crédito
36,56223,29130,crédito
44,77843,61809,crédito
53,117480,53931,crédito
19,67440,32642,crédito
35,116296,49873,crédito
40,63312,17080,crédito
43,56570,37229,crédito
28,167177,23640,inv_riesgo
18,184290,18207,crédito
53,198849,34318,inv_riesgo
37,54434,43385,crédito
48,85411,58823,crédito
25,184912,49878,crédito
41,166367,18046,crédito
37,51687,39664,crédito
32,196131,51192,crédito
47,101391,31840,crédito
37,196071,27779,inv_riesgo
55,142089,49032,crédito
19,55055,55144,crédito
23,131056,15376,crédito
35,55561,31202,crédito
53,168455,19360,crédito
31,161454,61296,crédito
43,190046,41260,crédito
51,64884,41507,crédito
47,153663,50761,crédito
24,130413,60518,crédito
47,167691,57501,crédito
35,53871,30760,crédito
39,61657,19420,crédito
34,98661,15078,inv_conservadora
48,66200,39799,crédito
34,190405,34010,inv_riesgo
48,106374,19738,inv_conservadora
30,111725,61798,crédito
44,64168,15175,crédito
37,75364,50655,crédito
34,71329,36508,crédito
46,137827,16902,crédito
52,192567,59559,crédito
25,182559,61317,crédito
55,182262,40652,crédito
32,175468,41384,crédito
18,192701,44478,crédito
50,189831,16924,crédito
20,106691,60336,crédito
55,72452,45228,crédito
32,199679,28933,inv_riesgo
35,187142,23327,inv_riesgo
55,198767,22853,inv_riesgo
48,94857,56241,crédito
37,59549,51707,crédito
24,84116,57465,crédito
54,123755,56762,crédito
44,81340,32910,crédito
25,111167,30796,crédito
31,83248,26022,crédito
32,88715,46554,crédito
24,169251,17472,crédito
50,118530,29728,crédito
51,192291,60219,crédito
21,119460,17483,inv_conservadora
18,53373,18959,crédito
31,107367,16465,inv_conservadora
48,53035,44657,crédito
55,117588,29857,crédito
37,86765,45697,crédito
20,137338,48404,crédito
52,187012,36731,crédito
50,57063,57937,crédito
32,127414,49768,crédito
20,199219,36720,crédito
45,119027,34786,crédito
44,80873,30095,crédito
50,172636,57606,crédito
36,70711,44086,crédito
50,159332,50403,crédito
48,52393,51825,crédito
21,186545,23614,inv_riesgo
49,192541,57444,crédito
45,99962,55093,crédito
33,183680,57111,crédito
45,80449,52933,crédito
32,172002,40250,crédito
39,189147,30223,inv_riesgo
48,99529,61684,crédito
